workerid,rt,color_other,color_target,n_total,response,n_target,slide_number_in_experiment,count,colorblind,language,enjoyment,gender,age,comments,languages,asses,education,OS,screenH,screenW,Browser,feedback,assignments,workerid,creationtime,Answer.condition,deadline,viewhit,keywords,assignmentduration,title,assignmentapprovaltime,Answer.catch_trials,reject,assignmentstatus,hitlifetime,numpending,description,assignmentid,assignmentaccepttime,numavailable,numcomplete,assignmentsubmittime,annotation,reviewstatus,autoapprovaltime,Answer.time_in_minutes,hitstatus,autoapprovaldelay,hittypeid,assignmentrejecttime,reward,hitid
0,25414,black,white,25,"[u'Spread out', u'Pretty evenly dispersed', u'Common']",14,2,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,6631,black,white,25,"[u'Sparse', u'Spread out', u'']",10,3,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,8904,white,black,100,"[u'Limited', u'Few', u'Separated']",2,4,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,5536,white,black,25,"[u'One', u'Single', u'Alone']",1,5,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,9817,white,black,100,"[u'Many', u'All over the place', u'Lots']",72,6,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,11974,black,white,100,"[u'A good amount', u'Mostly to one side', u'']",70,7,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,14625,white,black,100,"[u'Many', u'Lots', u'All over']",82,8,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,46712,black,white,10,"[u'A few', u'Four', u'']",6,9,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,10687,black,white,100,"[u'Many', u'Lots', u'Majority']",21,10,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,7807,white,black,10,"[u'All', u'Several', u'']",10,11,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
